video_id,title,channel_title,published_at,view_count,like_count,comment_count,activity,query
Kl4_okjebXQ,Adjusting to Beach Ultimate: What Elite Players Forget,Hive Ultimate,2025-11-15T19:49:42Z,4949,96,3,Beach Ultimate,beach ultimate
NoPAtjLGu_M,Canada vs. United States | Open Semifinal | 2023 World Beach Ultimate Championships,Ultiworld - Ultimate Frisbee,2023-11-04T19:10:55Z,24310,161,10,Beach Ultimate,beach ultimate
RycyHAbbYMU,How to play Beach Ultimate,Beach Ultimate,2016-05-18T20:44:01Z,22954,98,2,Beach Ultimate,beach ultimate
HqlS4eJQqiM,Catch The World Beach Ultimate Championships on YouTube and Ultiworld.com #beach #ultimatefrisbee,Ultiworld - Ultimate Frisbee,2025-11-17T14:31:01Z,59053,546,9,Beach Ultimate,beach ultimate
gu7IqkkoaRo,Spain vs. France | Mixed Final | WBUC 2023,Ultiworld - Ultimate Frisbee,2023-11-08T18:23:59Z,11668,112,8,Beach Ultimate,beach ultimate
ib4EESnFxbQ,Watch the World Beach Ultimate Championships on Ultiworld and YouTube!,Ultiworld - Ultimate Frisbee,2025-11-21T10:01:14Z,19163,276,4,Beach Ultimate,beach ultimate
2uDmGT3R4iI,Great Britain vs. Germany | Women&#39;s Pool Play | 2025 World Beach Ultimate Championships,Ultiworld - Ultimate Frisbee,2025-11-17T11:11:11Z,6385,45,3,Beach Ultimate,beach ultimate
9iUmMu4e8wk,YAKA vs JETS - Demi-Finale - Championnats de France de Beach Ultimate 2021 - FFFD,Fédération Française de Flying Disc FFFD,2021-10-13T10:48:27Z,1099,14,0,Beach Ultimate,beach ultimate
C2h7TeLiDnA,How to Play Goaltimate,Cartographic Productions,2016-08-23T01:50:26Z,23565,143,13,Goaltimate,goaltimate
5YQqia88YWw,Goaltimate Nationals Highlights Day 1,Ultiworld - Ultimate Frisbee,2025-04-13T02:04:54Z,7571,78,8,Goaltimate,goaltimate
eu_2QceVWAo,Best of Goaltimate Nationals,Ultiworld - Ultimate Frisbee,2026-03-24T19:51:31Z,4524,62,2,Goaltimate,goaltimate
ot6KcUow_Rk,How To Play Goalty - World Goaltimate Association,World Goaltimate Association,2024-01-05T04:04:43Z,2346,36,0,Goaltimate,goaltimate
IagBUUcRqWo,Austin vs. Boston | Men&#39;s Final | 2024 Goaltimate National Championships,Ultiworld - Ultimate Frisbee,2024-04-17T15:45:27Z,12594,88,3,Goaltimate,goaltimate
WCrtZn97GHk,Goalty Screens 101 - Goaltimate Screening Demystified,World Goaltimate Association,2026-01-22T02:12:56Z,81,6,0,Goaltimate,goaltimate
P_HpWz0PObA,Goaltimate Nationals Highlights,Ultiworld - Ultimate Frisbee,2025-04-14T19:52:32Z,30886,438,3,Goaltimate,goaltimate
3KuwVfWj--w,Seattle vs. Boston | Men&#39;s Semifinal | 2024 Goaltimate National Championships,Ultiworld - Ultimate Frisbee,2024-04-17T15:45:32Z,4158,30,1,Goaltimate,goaltimate
7I-GjvGRZXc,"Goaltimate Strategy Part 1: Defensive basics, scoring opportunities.",Disc i,2025-11-16T05:10:46Z,109,0,0,Goaltimate,goaltimate
tEHVq1PeSL4,New Orleans vs. Madison | Woman-Matching Quarterfinal | 2026 Goaltimate Nationals,Ultiworld - Ultimate Frisbee,2026-03-23T04:11:09Z,1261,11,0,Goaltimate,goaltimate
HrjJUHKmS10,Vegas Goaltimate Week One Viva La Hoopas vs La Vig!,Hawaii Goaltimate,2026-01-16T15:33:12Z,262,9,4,Goaltimate,goaltimate
