video_id,title,channel_title,published_at,view_count,like_count,comment_count,activity,query
vJE92_wdH8M,Goaltimate Nationals 2026 - Scrubs vs Swingin&#39; Friars,Austin Ultimate Frisbee Clips,2026-03-24T12:10:45Z,21,0,0,Goaltimate,goaltimate
fYX9XZioMb8,Mixed Goaltimate Nationals 2024 - ACD vs Bae Blades,Austin Ultimate Frisbee Clips,2025-01-22T16:27:00Z,92,1,0,Goaltimate,goaltimate
zXWuI4VgHB0,#GOALTIMATE CATCH OF THE YEAR early entry 2024! #frisbee #ultimatefrisbee #hawaii #disc #catch #girl,Hawaii Goaltimate,2024-02-07T04:09:49Z,5315,114,6,Goaltimate,goaltimate
RSf1WODzrCM,MXD Goaltimate Nationals Finals - Seattle Co-ed Clunkers vs. Bay Area Roommates,Garrett Bush,2025-04-04T22:42:14Z,797,20,0,Goaltimate,goaltimate
Bs2TZC1OGZs,Goaltimate Highlights: 9/7/2025,JelloRich,2025-09-13T17:58:42Z,97,2,0,Goaltimate,goaltimate
7-GufSGFvq8,Finals 2025 USA Mixed Goaltimate Nationals,Kevin Christian,2025-12-21T05:38:05Z,155,1,0,Goaltimate,goaltimate
3IT_jXpQqco,GOALTIMATE the sweet SCIENCE! #goaltimate #ultimatefrisbee #frisbee #hawaii #disc #southpaw #goalty,Hawaii Goaltimate,2024-02-08T13:38:32Z,12830,97,5,Goaltimate,goaltimate
oye2Awd_UOE,Hot Box instruction,SkillfulPug,2023-10-17T18:08:25Z,283,0,0,Hot Box,hot box frisbee
FsBa0PLSaaU,⛺️💨HOTBOX TENT CHALLENGE💨⛺️... ( HE GREENED OUT🤢),YoungKojak,2026-04-23T21:26:32Z,2758,202,25,Hot Box,hot box frisbee
AF_ozvLAKps,His Frisbee Skills Are Insane (@frisbeeyourself),FitFix ,2024-08-31T14:00:09Z,348744,10044,133,Hot Box,hot box frisbee
o7SFgrWl524,World&#39;s Largest Frisbee Launcher,CrunchLabs,2022-12-09T20:31:26Z,13253739,23219,246,Hot Box,hot box frisbee
f1sfUqpkHsc,He never gave up 👏🫡 #shorts,MaxPreps,2023-08-09T22:00:19Z,36259029,570809,7108,Hot Box,hot box frisbee
8ukl0nd7GRk,Hotbox with the guys,Fastlifekai,2025-06-04T01:25:57Z,51,1,1,Hot Box,hot box frisbee
qYcH7kxaZ38,FaZe &amp; QTCinderella TRICK FanFan! 😂,JasonTheWeen,2024-11-12T21:11:15Z,4521629,77634,297,Hot Box,hot box frisbee
